feature_id,feature_description
3757,snd-ca0106: Add support for X-Fi Extreme Audio.
26800,Add driver to control USB fast charge for iOS devices
15679,X86 RAS: Add a Corrected Errors Collector
39054,
3289,ARM Add ability to dump exception stacks to kernel backtraces
14459,PPC xmon: Add 'dt' command to dump trace buffers
36528,Add LoongArch-related irqchip drivers
39875,Robustify boot sequence and add support for WXN
43482,xpad: add support for ASUS ROG RAIKIRI PRO
30436,ice Introduce function for reading from flash modules
27754,qcom: gcc-msm8939: Add MSM8939 Generic Clock Controller
37365,power supply: mt6370: Add MediaTek MT6370 charger driver
16196,
18169,XFS Show realtime device stats on statfs calls if realtime flags set
2168,debugfs: Add debugfs_create_blob() helper for exporting binary data
9425,SCTP: Make HMAC algorithm selection for cookie generation dynamic
38045,can: remove obsolete PCH CAN driver
23154,lm3532: Introduce the lm3532 LED driver
43835,imu: inv_icm42600: add support of accel low power
26286,Generic page table walk and kernel page table dump (ptdump) via debugfs
12132,i915 bxt: update list of PCIIDs
27527,mvneta: Add 2500BaseX support for SoCs without comphy
13495,HID hid-led: add support for devices with multiple independent LEDs
39288,intel: Add Granite Rapids
17016,netfilter netfilter: nf_tables: support for recursive chain deletion
26336,Btrfs Add full support for cloning inline extents
18682,sdhci-pci: Add CQHCI support for Intel GLK
1336,reiserfs: make resize option auto-get new device size
23379,Netfilter Support to match IPv4 options in nf_tables
43568,fsl-sdma: Some improvement for fsl-sdma
8759,Make selinux cache VFS RCU walks safe
12526,NFS Support for the NFS v4.2 COPY operation.  Linux 4.5  the  system call and it also added support in NFS for the CLONE operation present in the NFS  which allows to clone ranges of a file into another. This release adds support for the  which allows to make copies of entire files
1818,"High resolution timers (LWN article explaining the API). In contrast to the low-resolution timeout API implemented in kernel/timer.c, hrtimers provide finer resolution and accuracy depending on system configuration and capabilities. These timers are currently used for: itimers, POSIX timers, nanosleep and precise in-kernel timing. For more details read thedocumentation"
37741,it87: Add param to ignore ACPI resource conflicts
28017,qcom: Add ipq8064 rev2 variant
13501,New hw revision 1.4 of NetUP Universal DVB card added
1660,FUSE : Allows to implement a fully functional filesystem in a userspace program 
14710,lm87: Use hwmon to create the sysfs groups
2495,base support for the Freescale MPC8349E-mITX eval board
37801,habanalabs Add page fault info uapi
22755,NXP TQ TQMa7S (i.MX7Solo)
18537,mvneta Add flow control support
31041,Netfilter flowtable: add vlan match offload support
2618,Cx88 driver: added support for KWorld MCE 200 Deluxe
35660,hcd: Add support for deferring roothub registration
32428,nvmem: Add support for FRAM
42109,HID logitech-hidpp: add support for Logitech G Pro X Superlight 2
39435,phy: add driver for Microchip LAN867x 10BASE-T1S PHY
44743,LOONGARCH Implement getrandom() in vDSO
44145,msm adreno: Add support for X185 GPU
13245,Device Tree sources sun8i: Add dts file for inet86dz board
21296,reset: qcom: PDC Global (Power Domain Controller) reset controller
13,Support centrino 1GHz
24324,memory: mtk-smi: Add gals support
13286,Microoptimizations to the syscall entry code
9343,bonding: support for IPv6 transmit hashing (and TCP or UDP over IPv6) bringing IPv6 up to par with IPv4 support in the bonding driver
43554,Add RIIC support for Renesas RZ/V2H SoC
2405,nsc-ircc: Enable PnP support for the nsc-ircc chipset
31390,mlx5 Introduce TC sample offload
37733,amd-mp2: use msix/msi if the hardware supports
983,ide: pdc202xx_old: kill /proc/ide/pdc202xx
40967,Add support for limited alarm timer offsets
42276,qcom-qmp-combo: Add x1e80100 USB/DP combo phys
4568,Core consoles: polling support kgdboc
2838,Generic BUG implementation
33479,Remove Netlogic XLP network driver
9621,llcp: Service Name Lookup SDRES aggregation
17829,Bluetooth btbcm: Add entry for BCM4356A2 UART bluetooth  add support for MINIX Z83-4 based devices
44466,fhandle: expose u64 mount id to name_to_handle_at(2)
8612,Allow userspace to read policy back out of the kernel
5700,serial sh-sci: Add support SCIF of SH7723
32211,hda oxfw: add explicit device entry for Loud Technologies Mackie Onyx Sattelite
36779,mAdd support for PolarFire SoC's musb controller
24198,adc: ad7606: Add support for AD7606B ADC
1639,USB: add Option Card driver
25219,imu: st_lsm6dsx: add support to LSM6DS0
6519,Add platform driver for EFI
27628,dwc3: meson: add OTG support for GXL/GXM
31036,Multi-path TCP Add  support
9131,
20065,
4217,Power Management Suspend: Testing facility
28114,virt: vbox: Add support for the new  ioctl
32885,mlx5 E-switch Allow setting share/max tx rate limits of rate groups
15542,Allow configuring default qdisc in kernel configuration
26733,stmmac 100GB Enterprise MAC support
38118,octeontx2-af Add support to filter packet based on IP fragment
35294,Remove architecture no longer maintained
4036,ps3fb: add virtual screen and panning support
19855,nfp flower tc block support
20763,BPF bpftool support for sockmap use cases
27428,ath10k Enable rx duration report default for wmi tlv
31948,perf Support perf-mem/perf-c2c for
16345,Device Tree Sources sun8i: v3s: add support for Lichee Pi Zero w/ dock board
957,I2C: lm87 driver ported to Linux 2.6
1206,r8169: Large Send enablement
16267,device mapper Add the ability to use select or poll /dev/mapper/control to wait for events from multiple DM devices
12196,iio: Remove periodic RTC trigger driver
13365,panel simple: Add support for LG LP097QX1-SPA1 panel
28802,zcrypt: Support for CCA APKA master keys
10275,Add support to configure SR-IOV VF minimum and maximum transmission rate through ip tool
13663,tools/gpio: add the gpio-event-mon tool
10792,tipc: add ip/udp media type
20820,veth XDP stats improvement
35497,cpsw: ale: add broadcast/multicast rate limit support
2533,execve argument logging
16612,qede Allow WoL to activate by default
26963,interconnect: qcom: Consolidate interconnect RPMh support
10839,BTRFS Let btree defrag work in SSD mode
24383,CIFS Add  mount option to allow shares accessed by only client to be more aggressively cached
7543,ioat3 split ioat3 support to its own file add memset
31793,BTRFS Make read time repair to be only submitted for each corrupted sector
2433,Add driver support for general purpose I/O feature of the Synclink GT adapters
29251,gyro: Add driver support for ADXRS290
13847,veth: sctp: add  to device features
395,Make SCSI timeout modifiable
31503,ASoC tegra20: i2s: Add reset control
